,index,bids_name,cnr,efc,summary_bg_stdv,snrd_total,cnr < 2,efc > .8,snrd < 5,bg_stdev > 50
0,83,sub-084_T1w,0.6501939765131932,0.8017179759970298,401.4128723144531,2.0391816429104708,True,True,True,True
1,84,sub-085_T1w,1.5586548210197428,0.8717273298911979,160.0543837724621,4.0624703282913455,True,True,True,True
2,85,sub-086_T1w,0.4941362188518346,0.8752474161629296,511.1138916015625,3.15799575214952,True,True,True,True
3,87,sub-088_T1w,0.940453042904555,0.847110589955395,330.81991745397585,3.656233758971583,True,True,True,True
4,90,sub-091_T1w,1.3441692362522728,0.8441886353217807,181.75205993652344,3.526720420580397,True,True,True,True
5,92,sub-093_T1w,1.1720379456268686,0.8260151988885018,249.17788696289062,46.08207164640053,True,True,False,True
6,93,sub-094_T1w,0.8358355371428674,0.8643683705489879,288.926025390625,3.44192284629828,True,True,True,True
7,94,sub-095_T1w,1.7566378789475068,0.7841178365495084,134.0550537109375,9.921466071526826,True,False,False,True
8,95,sub-096_T1w,1.7415025660173982,0.8542791723897522,110.4741439819336,2.7455794805894715,True,True,True,True
9,96,sub-097_T1w,1.7775313338446364,0.8742925899937649,131.75722442648905,3.5634613298214863,True,True,True,True
10,97,sub-098_T1w,0.5129930065548449,0.8527268716451356,548.1441221694699,3.0329238465744592,True,True,True,True
11,98,sub-099_T1w,2.6229933023122105,0.816268562927812,70.93682861328125,13.182011190649533,False,True,False,True
12,117,sub-101_T1w,1.593574329948565,0.8499754656944202,166.78075028596288,2.897055672613241,True,True,True,True
13,128,sub-102_T1w,1.6244486701691558,0.8609606696373001,123.55207824707031,2.5255248065869207,True,True,True,True
14,149,sub-104_T1w,1.8709114982870891,0.8649402519333749,135.464373224501,3.3891550408564872,True,True,True,True
15,160,sub-105_T1w,0.6151303677582393,0.8747832478809456,421.10611435556086,3.514404255893846,True,True,True,True
16,171,sub-106_T1w,1.1432932412519634,0.8901783649481132,218.9078447944157,3.5210619699772683,True,True,True,True
17,193,sub-108_T1w,0.4945888488056752,0.8904061813409563,527.9292950525588,3.5510560400978686,True,True,True,True
18,204,sub-109_T1w,0.7218108587783586,0.8779316230175712,351.7188733203444,3.0042276324219332,True,True,True,True
19,215,sub-110_T1w,0.6357696724427429,0.8247982006981921,430.3416442871094,0.9872320936495856,True,True,True,True
20,216,sub-111_T1w,1.8918352769084472,0.8192537450585234,145.5147384747904,3.6756060182618633,True,True,True,True
21,217,sub-112_T1w,1.8320966196127637,0.8412103435145528,106.22179412841795,2.818523390123066,True,True,True,True
22,218,sub-113_T1w,2.322988443018258,0.8228760590419356,89.33792877197266,15.060223427636881,False,True,False,True
23,222,sub-117_T1w,1.7157569609948726,0.7968785628681231,136.93782043457028,2.1697256409220684,True,False,True,True
24,224,sub-119_T1w,0.6250398914313773,0.8002272223239993,451.7231750488281,1.2653393474006491,True,True,True,True
25,226,sub-121_T1w,2.1565543778776624,0.8547701527381067,110.0937271118164,2.6266953505500332,False,True,True,True
26,227,sub-122_T1w,1.1742291315357976,0.8803281121077796,190.8038024902344,1.612666635280334,True,True,True,True
27,228,sub-123_T1w,2.067056207079409,0.8348541676583483,112.360107421875,2.633623390214444,False,True,True,True
28,229,sub-124_T1w,0.6133613127913129,0.8921492994678574,394.7873468781147,3.2956355827270087,True,True,True,True
29,230,sub-125_T1w,2.8417595110399683,0.8550340453331993,69.95111083984375,4.039323038050576,False,True,True,True
30,231,sub-126_T1w,1.1060344396980355,0.8501455543919664,284.3528821211761,3.3016134073131584,True,True,True,True
31,232,sub-127_T1w,0.4680194890316785,0.8942260317026708,625.2748278158974,3.416229635490772,True,True,True,True
32,233,sub-128_T1w,1.6631813243470328,0.8771724413949177,160.4179107463923,3.9497594688987387,True,True,True,True
