,bids_name,cjv,cnr,efc,fber,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,inu_med,inu_range,qi_1,qi_2,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr_csf,snr_gm,snr_total,snr_wm,snrd_csf,snrd_gm,snrd_total,snrd_wm,spacing_x,spacing_y,spacing_z,summary_bg_k,summary_bg_mad,summary_bg_mean,summary_bg_median,summary_bg_n,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_csf_k,summary_csf_mad,summary_csf_mean,summary_csf_median,summary_csf_n,summary_csf_p05,summary_csf_p95,summary_csf_stdv,summary_gm_k,summary_gm_mad,summary_gm_mean,summary_gm_median,summary_gm_n,summary_gm_p05,summary_gm_p95,summary_gm_stdv,summary_wm_k,summary_wm_mad,summary_wm_mean,summary_wm_median,summary_wm_n,summary_wm_p05,summary_wm_p95,summary_wm_stdv,tpm_overlap_csf,tpm_overlap_gm,tpm_overlap_wm,wm2max,subID
83,sub-084_T1w,2.0026409498348556,-2.6247521727701355,1.2160846895204143,-0.017517784964712683,-1.0145167476122214,-0.0030882684544503197,-1.114350298096369,-1.1277372508796062,-0.18566781418019673,-0.3425430492972247,0.8720092912018936,-0.7304216960690602,-1.2697978073608978,,-0.9123454727754813,0.11720718746178349,-0.014576882738252186,-0.4308923618990264,1.3812253257599516,-0.08592061172923442,-1.5399537689389915,0.6040413727502504,0.02584734255691735,-1.1705452748874552,-2.0750988862205517,-1.164839783684629,-1.1949879926420213,-1.222129685585675,-1.237964819714634,-0.6719965174056954,0.06551171178597899,2.1848706994097356,-0.1149507465847112,4.054054902033128,5.164860817081974,2.582205365414934,-0.9406564435235137,-0.7342317204564027,9.069448799849349,4.074070646610695,-0.7199551857910316,-0.13198857131331548,-0.03596323519533662,-0.01558823790557216,-0.4419791561910767,0.5991005701647758,-0.1659548016688969,-0.6297440447629868,1.0396258408290742,0.024168871025811545,0.9936690282389664,0.9566632019913347,-0.8438495794517129,0.8785537252666905,1.2277768317232245,0.42645046531960207,0.2209978158589172,2.5983343817407567,2.3221098747093554,1.8810846509484305,-0.6169687200836789,-0.78152995258491,2.152935118801265,2.1082289712451634,-4.687794742850285,-5.141643624920046,-6.960387455369952,-1.877286532706773,sub-084
84,sub-085_T1w,0.15339920954041866,-1.8143632707961779,2.1923531050251803,-0.11911316047132428,-0.5313410802146654,0.1852995681827201,-0.6074578687057772,-0.7044139953685105,-0.02933861176731614,0.1377091757592933,-0.18743916352266182,-0.5886801666239805,-1.2458531406978193,,-0.8365836075069258,-0.7571142461274228,-0.8357623959890977,-0.7608292085008806,1.3812253257599516,-0.08592061172923442,-1.3546807562284346,0.13547278522021314,1.1458641523923452,0.8724143201536239,0.5898970519842336,-1.0762329662097663,-1.1021881757314675,-1.1319736650025491,-1.1507433622654584,-0.5641352789889648,0.1465080835632891,1.1413159276387583,-0.16269318086370685,1.6900068400110861,-0.918320404301659,-0.857930655566191,-0.8140345632116848,-0.7342317204564027,-0.7720300436264762,1.3119994736586844,3.198630949571493,-0.9419736627539347,0.09235692481113607,0.18947448493415353,-0.06594873043249976,0.990761570657964,-0.2309971338014636,-0.4224212655828354,-1.0328734644507125,-0.8036795099766167,0.9042658721551985,0.9068670365755095,-0.5090564803605115,1.044075108929907,0.7001113206354393,-0.9670746624679264,-0.23765373614157895,-0.4479339318685742,0.6797377444681786,0.21709480583181784,-0.39702893650731574,1.2190851546003898,-0.03510191262477718,-0.49603547799926784,0.027739405332523358,-0.7968976489542485,-1.9774828221166143,-0.7176797147019306,sub-085
85,sub-086_T1w,2.027255192277089,-2.7639628780420837,2.2414401034873928,-0.1169087896641318,-1.1862260607083368,-0.08512956493573459,-1.2797187764833717,-1.282685335838083,-0.6417962788937442,0.47903868207191647,0.19471575657633697,-0.6955259741461789,-1.3987035123090994,,-0.8687691450092936,0.2530223738276448,-0.4007245034965341,-0.40187446447538827,1.3812253257599516,-0.08592061172923442,-1.5399537689389915,0.26952015826994563,0.3708447140070183,-0.8461294936311081,-1.6769758007634457,-1.1223103789913156,-1.1403076953546871,-1.172276281773327,-1.1897074161320305,-0.6719965174056954,0.06551171178597899,2.1848706994097356,-0.142676018034243,2.3739936560699677,6.532132856518651,1.3699103588067483,-0.9448386169584371,-0.7342317204564027,11.44078426713563,5.329473035177036,-0.1176508230407721,-0.5082792588103762,-0.05105161254017598,-0.14642431486402346,-0.4344630856807416,0.6828956500029894,-0.16825844565944767,-0.5361176931535047,0.13646286198494398,-0.058488628194953186,1.1718561728621837,1.1533541133730902,-0.6897132033383151,1.0637889989708273,1.240451944947489,0.06341066897696461,-0.10123039485996073,2.1129910071503626,1.8133080272659832,2.4578305457599803,-0.6562507136588664,-0.38363747796116077,1.5874192693239473,1.4603769673798757,-4.651983643355741,-5.123648940901504,-7.498505427055766,-1.0435825309814564,sub-086
87,sub-088_T1w,0.05208282059063241,-2.3658277210193854,1.8490768947012175,-0.11941353022340347,-0.8579635340607051,0.021842072666550305,-0.8175937417436799,-1.1049841152488447,-0.7579376035759209,0.6849292249300293,0.027861932288138415,-0.6545427812523982,-1.3164060666640474,,-0.6520843174692711,-0.7370221244315704,-1.490406145293564,-1.2363264430960879,1.3812253257599516,-0.08592061172923442,-1.5811255495413374,-1.1899438503536592,0.2654793619900832,-0.235921508615108,-0.16174868183955918,-1.1057937650079974,-1.1247227075223176,-1.150075220539255,-1.161413808883748,-0.6719965174056954,0.06551171178597899,2.1848706994097356,-0.16269318086370685,1.8452728385818373,-0.918320404301659,-0.857930655566191,-0.8304809067970375,-0.7342317204564027,-0.7720300436264762,3.26621521624449,1.3797141070298453,-0.9128015895780264,-0.029061373752897933,-0.48497757881753334,-0.34177433689668446,0.5042458015983068,-0.295964145217385,0.8417826372700437,-0.9621333587956103,-0.22579593973236411,0.28339540239897787,0.26653109443591483,-0.4437617645244775,0.35450810122938997,0.22423982246732474,-0.36395703131162893,-0.2675751086513585,0.1889208690585759,0.6116338433506701,1.5381546594474922,-0.4696760118434833,0.609023677506422,0.219068557282033,-0.046995341271480924,1.059382307720024,0.16797101766075836,-0.2275608127029226,-1.2957870123130757,sub-088
90,sub-091_T1w,1.7321527012523394,-2.0056942880656834,1.8083307391996581,-0.11651090703628504,-1.0692336731595704,0.0693542445130956,-1.2198829921771241,-1.194187169371602,-1.0157318008031153,0.6528585105873114,0.48666314068270067,-0.8950010479115199,-1.2565854313088238,,-0.9127450763445986,0.7429955366719327,-0.4652470518135765,-0.5944317913746168,1.3812253257599516,-0.08592061172923442,-1.4370243174331265,0.6499132137896726,0.36304425991272093,-0.9486425866538514,-1.9588396021927401,-1.1110764987906723,-1.125790458949374,-1.1558462245912977,-1.1704370975975853,-0.6719965174056954,0.06551171178597899,1.1413159276387583,-0.0560361954779498,1.9931245971123992,1.8784794128725903,1.0950836764728449,-0.9479385710028321,-0.7342317204564027,2.984151846523589,1.5603044999903983,-0.6873046717613153,-1.230477874288685,-0.21136460210790958,-0.39083022036787596,-0.4300101684349959,0.8247318964272286,-0.19123757906618094,-0.6964347667306959,-0.5838486723235251,-0.10061383315852315,0.7602076547806879,0.7522725152557348,-0.704670318557425,0.7478787180309142,0.7754905447480375,-0.1795631870249015,-0.28948190280430103,2.7289657755731898,1.2880329453959294,2.664367926997605,-0.6688032304028173,-1.42684130384058,1.77811523808929,1.9020300654148055,-4.748565448066015,-4.6651622394584065,-7.210994431831939,-1.9861525250936924,sub-091
92,sub-093_T1w,1.2002033456310763,-2.1592433248225182,1.5549052895402569,30.664456488025515,-1.0724751443572058,-0.08876674513792923,-1.1580874471535083,-1.1497409166711796,-1.0824284327023912,0.8902661980373485,0.18880728382640946,-0.6171828419701665,-1.4503457357993297,,-0.92606209528966,0.6780753655599109,-0.7187475417379293,-0.7343579252859093,1.3812253257599516,-0.08592061172923442,-1.5399537689389915,-1.1801929924525218,0.004727280676491942,-1.5638877653609218,-2.105074929554048,0.5537278629919179,0.7940046766669254,0.7403839815866067,0.7566998838572675,-0.6719965174056954,0.06551171178597899,2.1848706994097356,-0.05190822856830251,-0.5105174551695025,2.1418351386259458,-0.7114890098553863,-0.9444058766435596,-0.7342317204564027,4.4964826138835665,2.3319157835503574,0.3646317027286348,-0.7685791651531781,0.06585505103807074,-0.48110646445596644,-0.4235718740733126,0.44269645858727824,-0.23787553769305692,0.8176365949306696,-0.7861620511025134,0.16213185406378058,0.25933288562808654,0.2530477037383759,-0.6495872878107432,0.25281773585750705,0.2616612811899206,-0.020472324025224305,-0.1996565656094464,2.6935304823151927,2.6456475204845646,5.049290140617767,-0.6961824845713879,-0.8046292387844811,2.4062598404125555,2.1642948261588253,-4.993690643041541,-4.570947461579783,-7.378834668217234,-1.297180573910745,sub-093
93,sub-094_T1w,1.749858441356742,-2.459151353110011,2.0897336809458804,-0.1156161591629253,-1.0817021315974211,0.006269642198215592,-1.220555871393388,-1.1749858793741177,-0.5463121547884847,-0.020741609481242585,0.8922240693325452,-0.6151969168633649,-1.3887269912196996,,-0.8797944792672261,-0.10796640039580464,-0.5217443662907179,-0.7693686113652571,1.3812253257599516,-0.08592061172923442,-1.3958525368307806,0.10126743354563819,0.6339564416144154,-0.6458326892857607,-1.4765835876872848,-1.1143513062831072,-1.125790876306493,-1.1596247322791113,-1.1768840277017152,-0.6719965174056954,0.06551171178597899,2.1848706994097356,-0.09954102951232449,2.109618711292135,3.15971201916707,1.179143338620768,-0.9442488516229993,-0.7342317204564027,6.005252932661443,2.78678765481935,0.09864190757111378,-0.6858213334852483,-0.0796309982732887,-0.2972564897749945,-0.41208504933110235,0.692494698608703,-0.14110799987879674,-0.49307307934745526,0.17225987877892124,-0.4043006147308097,1.195813061882796,1.183405946662864,-0.5981083812132443,1.1398650076356793,1.2023442030593887,-0.2529289302579079,-0.17484594423970376,1.7459263881152114,1.2466578272959166,2.2318085058998305,-0.4562177448717336,-0.46291952747767806,1.2813564852084134,1.1883600000977692,-4.453558743016206,-5.4766889465451065,-7.419628851292322,-1.1075623448801688,sub-094
94,sub-095_T1w,1.4845765993921576,-1.6377532673010073,0.9706537678600172,-0.10366057409943334,-1.0278192268654482,-0.14610754734270176,-1.0026407453764152,-1.1707452893438342,-0.6920517326571308,0.8104460079944079,-0.2882958764396596,-0.699299801244643,-0.6605270933254243,,-0.7977880419939608,0.018068334209798295,-0.8543371943481134,-0.6255091139223429,1.3812253257599516,-0.08592061172923442,-1.4370243174331265,-1.487050375148789,-0.2744178472698824,-1.7120870543647244,-2.057228291009207,-0.7671268273683264,-0.858151014105697,-0.87090180479781,-0.9001722503476697,-0.5641352789889648,0.1465080835632891,2.1848706994097356,-0.13840317409832423,0.27788288189450794,0.9765349720332468,-0.1425967780231019,-0.8333162036471548,-0.7342317204564027,2.5078412328103235,1.0144669505110346,-0.28211023943351354,0.37057279599570986,2.3925686107313666,1.0585651203945994,-0.5032705840130924,0.8694653581666778,3.3187572865777106,3.132962810035676,-0.8343616186843036,0.5624364230829085,0.4109825608275321,0.3742156877791239,-0.5690651474444104,0.32721969646056354,0.5985766954740401,0.4925028891766859,-0.1846351716558537,2.7486547347947754,1.9530554469801664,1.3238234147666643,-0.5998431492004612,-1.1434707206624584,2.104984621070133,2.0754459317038294,-0.7313200056870793,-0.18232292041413636,-1.162751008375038,-1.725090075014942,sub-095
95,sub-096_T1w,1.5308147745159812,-1.6512546633167324,1.9490415454989465,-0.0841910164810446,-0.7867939394757625,-0.12055266367156432,-0.8868055700548965,-0.7625342037154045,-0.4089087421488766,0.230204873037039,0.2512210708837559,-0.3353257236739797,-0.7618008025334752,,-0.8718912330662241,-0.12553840261293095,-0.5061645989225089,-0.6377234638197639,1.3812253257599516,-0.08592061172923442,-1.3546807562284346,-0.8327821590479223,0.836435188292399,-0.39859829826760473,-0.9120936778329712,-1.1279818993321744,-1.16153430538405,-1.1906531995786003,-1.210339380554512,-0.5641352789889648,0.1465080835632891,1.1413159276387583,-0.17260917909088064,2.921687477928827,0.96337479603881,-0.857930655566191,-0.9233645238884771,-0.7342317204564027,1.597850964166593,0.7446104752409147,1.5958289069900895,-0.25793900506117967,0.6102762279475223,0.5239299791327316,-0.25126950294015865,0.9084499758637983,-0.07540884650001727,0.48858843879872343,-1.2574979668041748,-0.17833753815600417,1.2629098698893368,1.265239519046243,-0.5999104432878359,1.2464365260224615,1.1916783193526668,-0.4415105680961987,-0.21454741116894963,0.9350713163187039,1.1815952983819284,2.426655091987168,-0.4677168347203098,0.23018255387968084,0.8235736016488544,0.5626313371763598,1.0952298085354806,0.45565503313981215,0.05479900507070855,-0.9691797833263625,sub-096
96,sub-097_T1w,0.7349652063272472,-1.619115343525961,2.2281252165558265,-0.11990545654457412,-1.0333126053637205,-0.2703125828747183,-0.8387555459456916,-1.2655500211386774,0.07813867264271473,-0.48667827362270755,0.7025074579005608,-0.8259358997085118,-1.8152416883061935,,-0.7878009262232955,-0.9726544973817643,-0.9227765452078197,-1.1491229059730284,1.3812253257599516,-0.08592061172923442,-1.5811255495413374,0.9635267771193905,0.4922640484056269,0.06715910487790853,-0.530820824480576,-1.1027685244611998,-1.124980244725395,-1.154209080967792,-1.1706496862200648,-0.5641352789889648,0.1465080835632891,2.1848706994097356,-0.16269318086370685,1.996767936763839,-0.918320404301659,-0.857930655566191,-0.8403815923656998,-0.7342317204564027,-0.7720300436264762,0.9881709289156067,-0.7218376238627121,-0.6821088224055352,-0.18756916547501817,-0.07316070478407258,-0.3722640568914401,0.5789101998419496,-0.25428652170712146,-0.7321834120721026,-0.960557024263982,-0.15616835611270988,0.8174750706758933,0.8151681537999813,-0.7336234492225293,0.8151445355011164,0.7544796770185828,-0.30350710868866404,-0.11796534819105677,0.48833252563428564,1.0243262531402044,1.6005055669931172,-0.48298660214765715,0.5585070061199,0.524474135715699,0.22773010316822576,0.8433257342381756,-0.40233643291863735,0.4462558436963697,-0.9402000028143801,sub-097
